en,ur,en_len,ur_len
and they answered and said unto jesus we cannot tell and jesus answering saith unto them neither do i tell you by what authority i do these things,پس انہوں نے جواب میں یسوع سےکہا ہم نہیں جانتے ۔ یسوع نے ان سے کہا میں بھی تم کو نہیں بتاتا کہ ان کاموں کو کس اختیار سے کر تا ہوں ۔,28,33
and at the season he sent to the husbandmen a servant that he might receive from the husbandmen of the fruit of the vineyard,پھر پھل کے موسم میں اس نے ایک نوکر کو ناغبانوں کے پاس بھیجا تاکہ باغبانوں سے تاکستان کے پھلوں کا حصہ لے لے ۔,24,25
and they caught him and beat him and sent him away empty,لیکن انہوں نے اسے پکڑکر پیٹا اور خالی ہاتھ لوٹا دیا ۔,12,12
and again he sent unto them another servant and at him they cast stones and wounded him in the head and sent him away shamefully handled,اس نے پھر ایک اور نوکر کو ان کے پاس بھیجا مگر انہوں نے اس کا سر پھوڑ دیا اور بے عزت کیا ۔,26,24
and again he sent another and him they killed and many others beating some and killing some,پھر اس نے ایک اور کو بھیجا ۔ انہوں نے اسے قتل کیا ۔ پھرآور بہتیروں کو بھیجا ۔ انہوں نے ان میں سے بعض کو پیٹا اور بعض کو قتل کیا ۔,17,33
having yet therefore one son his wellbeloved he sent him also last unto them saying they will reverence my son,اب ایک باقی تھا جو اس کا پیارا بیٹا تھا اس نے آخر اسے ان کے پاس یہ کہہ کر بھیجا کہ وہ میرے بیٹے کا تو لحاظ کریں گے ۔,20,31
but those husbandmen said among themselves this is the heir come let us kill him and the inheritance shall be ours,لیکن ان باغبانوں نے آپس میں کہا یہی وارث ہے ۔ آو اسے قتل کر ڑالیں ۔ میراث ہماری ہو جائے گی ۔,21,23
and they took him and killed him and cast him out of the vineyard,پس انہوں نے اسے پکڑکر قتل کیا اور تاکستان کے باہر پھینک دیا ۔,14,14
what shall therefore the lord of the vineyard do he will come and destroy the husbandmen and will give the vineyard unto others,اب تاکستان کا مالک کیا کرے گا وہ آئے گا اوران باغبانوں کو ہلاک کر کے تاکستان اوروں کو دید یگا ۔,23,22
and have ye not read this scripture the stone which the builders rejected is become the head of the corner,کیا تم نے یہ نوشتہ بھی نہیں پڑھا کہ جس پتھر کو معماروں نے رد کیا وہی کونے کے سرے کا پتھر ہوگیا ۔,20,24
this was the lord s doing and it is marvellous in our eyes,یہ خداوند کی طرف سے ہوا اور ہماری نظر میں عجیب ہے ۔,13,13
and they sought to lay hold on him but feared the people for they knew that he had spoken the parable against them and they left him and went their way,اس پر وہ اسے پکڑنے کی کوشش کرنے لگے مگر لوگوں سے ڈرے کیونکہ وہ سمجھ گئے تھے کہ اس نے یہ تمثیل ان ہی پر کہی ۔ پس وہ اسے چھوڑ کر چلے گئے ۔,31,36
and they send unto him certain of the pharisees and of the herodians to catch him in his words,پھر انہوں نے بعض فریسیوں اور ہیرودیوں کو اس کے پاس بیھجا تاکہ باتوں میں اس کو پھنسایئں ۔,19,19
shall we give or shall we not give but he knowing their hypocrisy said unto them why tempt ye me bring me a penny that i may see it,پس قیصر کو جزیہ دینا روا ہے یا نہیں ہم دیں یا نہ دیں اس نے ان کی ریا کاری معلوم کر کے ان سے کہا تم مجھے کیوں آزماتے ہو میرے پاس ایک دینار لاو کہ میں دیکھوں ۔,29,40
and they brought it and he saith unto them whose is this image and superscription and they said unto him caesar s,وہ لے آئے ۔ اس نے ان سے کہا یہ صورت اور نام کس کا ہے انہوں نے اس سے کہا قیصر کا ۔,22,24
and jesus answering said unto them render to caesar the things that are caesar s and to god the things that are god s and they marvelled at him,یسوع نے ان سے کہا جو قیصر کا ہے قیصر کو اور جو خدا کا ہے خدا کو ادا کرو ۔ وہ اس پر بڑا تعجب کرنے لگے ۔,29,29
then come unto him the sadducees which say there is no resurrection and they asked him saying,پھر صدوقیوں نے جو کہتے ہیں کہ قیامت نہیں ہوگی اس کے پاس آکر اس سے یہ سوال کیا کہ ۔,17,21
master moses wrote unto us if a man s brother die and leave his wife behind him and leave no children that his brother should take his wife and raise up seed unto his brother,اے استاد ہمارے لئے موسی نے لکھا ہے کہ اگر کسی کا بھائی بے اولاد مر جائے اور اس کی بیوی رہ جائے تو اس کا بھائی اس کی بیوی کو لیلے تاکہ اپنے بھائی کے لئے نسل پیدا کرے ۔,35,41
now there were seven brethren and the first took a wife and dying left no seed,سات بھائی تھے ۔ پہلے نے بیوی کی اور بے اولاد مرگیا ۔,16,13
and the second took her and died neither left he any seed and the third likewise,دوسرے نے اسے لیا اور بے اولاد مرگیا اور اسی طرح تیسرے نے ۔,16,14
and the seven had her and left no seed last of all the woman died also,یہاں تک کہ ساتوں بے اولاد مرگئے ۔ سب کے بعد وہ عورت بھی مرگئی ۔,16,16
in the resurrection therefore when they shall rise whose wife shall she be of them for the seven had her to wife,قیامت میں یہ ان میں سے کس کی بیوی ہوگئی کیونکہ وہ ساتوں کی بیوی بنی تھی ۔,22,18
and jesus answering said unto them do ye not therefore err because ye know not the scriptures neither the power of god,یسوع نے ان سے کہا کیا تم اس سبب سے گمراہ نہیں ہوکہ نہ کتاب مقدس کو جانتے ہو نہ خدا کی قدرت کو ۔,22,25
for when they shall rise from the dead they neither marry nor are given in marriage but are as the angels which are in heaven,کیونکہ جب لوگ مردوں میں سے جی اٹھیں گے تو ان میں بیاہ شادی نہ ہوگی بلکہ آسمان پر فرشتوں کی مانند ہونگے ۔,25,24
he is not the god of the dead but the god of the living ye therefore do greatly err,وہ تو مردوں کا خدا نہیں بلکہ زندوں کا ہے ۔ پس تم بڑے گمراہ ہو ۔,19,17
and one of the scribes came and having heard them reasoning together and perceiving that he had answered them well asked him which is the first commandment of all,اور فقیہوں میں سے ایک نے ان کو بحث کرتے سن کر جان لیا کہ اس نے ان کو خواب جواب دیا ہے ۔ وہ پاس آیا اور اس سے پوچھا کہ سب حکموں میں اول کون سا ہے ۔,29,40
and jesus answered him the first of all the commandments is hear o israel the lord our god is one lord,یسوع نے جواب دیا کہ اول یہ ہے اے اسرائیل سن ۔ خداوند ہمارا خدا ایک ہی خداوند ہے ۔,21,20
and thou shalt love the lord thy god with all thy heart and with all thy soul and with all thy mind and with all thy strength this is the first commandment,اور تو خداوند اپنے خدا سے اپنے سارے دل اور اپنی ساری جان اوراپنی ساری عقل اور اپنی ساری طاقت سے محبت رکھ ۔,32,24
and the second is like namely this thou shalt love thy neighbour as thyself there is none other commandment greater than these,دوسرا یہ ہے کہ تو اپنے پڑوسی سےاپنے برابر محبت رکھ ۔ ان سے بڑا اور کوئی حکم نہیں ۔,22,20
and the scribe said unto him well master thou hast said the truth for there is one god and there is none other but he,فقیہ نے اس سے کہا اے استاد بہت خوب تو نے سچ کہا کہ وہ ایک ہی ہے اور اس کے سوا اور کوئی نہیں ۔,25,26
and when jesus saw that he answered discreetly he said unto him thou art not far from the kingdom of god and no man after that durst ask him any question,جب یسوع نے دیکھا کہ اس نے دانائی سے جواب دیا تو اس سے کہا تو خدا کی بادشاہی سے دور نہیں اور پھر کسی نے اس سے سوال کرنے کی جرات نہ کی ۔,31,35
and jesus answered and said while he taught in the temple how say the scribes that christ is the son of david,پھر یسوع نے ہیکل میں تعلیم دیتے وقت یہ کہا کہ فقیہ کیونکر کہتے ہیں کہ مسیع داود کا بیٹا ہے ۔,22,22
for david himself said by the holy ghost the lord said to my lord sit thou on my right hand till i make thine enemies thy footstool,داود نے خود روح القدس کی ہدایت سے کہا ہے کہ خداوند نے میرے خداوند سے کہا میری دہنی طرف بیٹھ جب تک میں تیرے دشمنوں کو تیرے پاوں کے نیچے کی چوکی نہ کردوں ۔,27,36
david therefore himself calleth him lord and whence is he then his son and the common people heard him gladly,داود تو آپ اسے خداوند کہتا ہے ۔ پھر وہ اس کا بیٹا کہاں سے ٹھہرا اور عام لوگ خوشی سے اس کی سنتے تھے ۔,20,26
and he said unto them in his doctrine beware of the scribes which love to go in long clothing and love salutations in the marketplaces,پھر اس نے اپنی تعلیم میں کہا کہ فقیہوں سے خبردار رہو جو لمبے لمبے جامے پہن کر پھرنا اور بازاروں میں سلام ۔,25,24
and the chief seats in the synagogues and the uppermost rooms at feasts,اور عبادتخانوں میں اعلے درجہ کی کرسیاں اور ضیافتوں میں صدر نشینی چاہتے ہیں ۔,13,15
which devour widows houses and for a pretence make long prayers these shall receive greater damnation,اور وہ بیواوں کے گھروں کو دبا بیٹھتے ہیں اور دکھاوے کے لئے نماز کو طول دیتے ہیں ۔ ان ہی کو زیادہ سزا ملے گی ۔,16,27
and jesus sat over against the treasury and beheld how the people cast money into the treasury and many that were rich cast in much,پھر وہ ہیکل کے خزانہ کے سامنے بیٹھا دیکھ رہا تھا کہ لوگ ہیکل کے خزانہ میں پیسے کس طرح ڑالتے ہیں اور بہتیرے دولتمند بہت کچھ ڑال رہے تھے ۔,25,31
and there came a certain poor widow and she threw in two mites which make a farthing,اتنے میں ایک کنگال بیوہ نے آکر دو دمڑیاں یعنی ایک دھیلا ڈالا ۔,17,14
and he called unto him his disciples and saith unto them verily i say unto you that this poor widow hath cast more in than all they which have cast into the treasury,اس نے اپنے شاگردوں کو پاس بلا کر ان سے کہا میں تم سے سچ کہتا ہوں جو ہیکل کے خزانہ میں ڈال رہے ہیں اس کنگال بیوہ نے ان سب سے زیادہ ڈالا ۔,33,35
for all they did cast in of their abundance but she of her want did cast in all that she had even all her living,کیونکہ سبھوں نے اپنے مال کی بہتات سے ڈالا مگر اس نے اپنی ناداری کی حالت میں جو کچھ اس کا تھا یعنی اپنی ساری روزی ڈالدی ۔,25,28
and as he went out of the temple one of his disciples saith unto him master see what manner of stones and what buildings are here,جب وہ ہیکل سے باہر جارہا تھا تو اس کے شاگردوں میں سے ایک نے اس سے کہا اے استاد ۔ دیکھ یہ کیسے کیسے پتھراور کیسی کیسی عمارتیں ہیں ۔,26,31
and jesus answering said unto him seest thou these great buildings there shall not be left one stone upon another that shall not be thrown down,یسوع نے اس کہا تو ان بڑی بڑی عمارتوں کودیکھتا ہے یہاں کسی پتھر پر پتھر باقی نہ رہے گا جو گرایا نہ جائے ۔,26,25
and as he sat upon the mount of olives over against the temple peter and james and john and andrew asked him privately,جب وہ زیتون کے پہاڑ پر ہیکل کے سامنے بیٹھا تھا تو پطرس اور یعقوب اور یوحنا اور اندریاس نے تنہائی میں اس سے پوچھا ۔,23,26
tell us when shall these things be and what shall be the sign when all these things shall be fulfilled,ہمیں بتاکہ یہ باتیں کب ہونگی اور جب یہ سب باتیں پوری ہونے کو ہوں اس وقت کا کیا نشان ہے ۔,20,22
and jesus answering them began to say take heed lest any man deceive you,یسوع نے ان سے کہنا شروع کیا کہ خبردار کوئی تمکو گمراہ نہ کردے ۔,14,15
for many shall come in my name saying i am christ and shall deceive many,بہتیرے میرے نام سے آئیں گے اور کہیں گے کہ وہ میں ہی ہوں اور بہت سے لوگوں کو گمراہ کریں گے ۔,15,23
and when ye shall hear of wars and rumours of wars be ye not troubled for such things must needs be but the end shall not be yet,اور جب تم لڑائیاں اور لڑائیوں کی افواہیں سنوتو گھبرا نہ جانا ۔ ان کا واقع ہونا ضرور ہے لیکن اس وقت خاتمہ نہ ہوگا ۔,28,26
for nation shall rise against nation and kingdom against kingdom and there shall be earthquakes in divers places and there shall be famines and troubles these are the beginnings of sorrows,کیونکہ قوم قوم اور سلطنت پر سلطنت چڑھائی کرے گی ۔ جگہ جگہ بھونچال آئیں گے اور کال پڑیں گے ۔ یہ باتیں مصیبتوں کا شروع ہی ہونگی ۔,31,29
and the gospel must first be published among all nations,اور ضرور ہے کہ پہلے سب قوموں میں انجیل کی منادی کی جائے ۔,10,14
now the brother shall betray the brother to death and the father the son and children shall rise up against their parents and shall cause them to be put to death,اور بھائی کو بھائی اور بیٹے کو باپ قتل کے لئے حوالہ کرے گا اور بیٹے ماں باپ کے برخلاف کھٹرے ہوکر انہیں مروا ڈالیں گے ۔,31,27
and ye shall be hated of all men for my name s sake but he that shall endure unto the end the same shall be saved,اور میرے نام کے سبب سے سب لوگ تم سے عداوت رکھیں گے مگر جو آخرتک برداشت کرے گا وہ نجات پایئگا ۔,26,23
but when ye shall see the abomination of desolation spoken of by daniel the prophet standing where it ought not let him that readeth understand then let them that be in judaea flee to the mountains,پس جب تم اس اجاڑنے والی مکر وہ چیز کو اس جگہ کھٹری ہوئی دیکھو جہاں اس کا کھٹرا ہونا روانہیں پڑھنے والا سمجھ لے اس وقت جو یہودیہ میں ہوں وہ پہاڑوں پر بھاگ جائیں ۔,36,37
and let him that is on the housetop not go down into the house neither enter therein to take any thing out of his house,جو کوٹھے پرہو وہ اپنے گھر سے کچھ لینے کو نہ نیچے اترے نہ اندر جائے ۔,25,17
and let him that is in the field not turn back again for to take up his garment,اور جو کھیت میں ہو وہ اپنا کپڑا لینے کو پیھچے نہ لوٹے ۔,18,14
but woe to them that are with child and to them that give suck in those days,مگر ان پر افسوس جو ان دنوں میں حاملہ ہوں اور جو دودھ پلاتی ہوں ۔,17,16
and pray ye that your flight be not in the winter,اور دعا کرو کہ یہ جاڑوں میں نہ ہو ۔,11,10
for in those days shall be affliction such as was not from the beginning of the creation which god created unto this time neither shall be,کیونکہ وہ دن ایسی مصیبت کے ہونگے کہ خلقت کے شروع سے جسے خدا نے خلق کیا نہ اب تک ہوئی ہے نہ کبھی ہوگئی ۔,26,26
and except that the lord had shortened those days no flesh should be saved but for the elect s sake whom he hath chosen he hath shortened the days,اور اگر خداوند ان دنوں کو نہ گھٹاتا تو کوئی بشر نہ بچتا مگر ان برگزیدوں کی خاطر جنکو اس نے چنا ہے ان دنوں کو گھٹایا ۔,29,28
and then if any man shall say to you lo here is christ or lo he is there believe him not,اور اس وقت اگر کوئی تم سے کہے کہ دیکھو مسیع یہاں یا دیکھو وہاں ہے تو یقین نہ کرنا ۔,21,21
for false christs and false prophets shall rise and shall shew signs and wonders to seduce if it were possible even the elect,کیونکہ جھوٹے مسیع اور جھوٹے نبی اٹھ کھڑے ہونگے اور نشان اور عجیب کام دکھائیں گے تاکہ اگر ممکن ہوتو برگزیدوں کو بھی گمراہ کردیں ۔,23,26
but take ye heed behold i have foretold you all things,لیکن تم خبردار رہو ۔ دیکھو میں نے تم سے سب کچھ پہلے ہی کہہ دیا ہے ۔,11,18
but in those days after that tribulation the sun shall be darkened and the moon shall not give her light,مگر ان دنوں میں اس مصیبت کے بعد سورج تاریک ہوجائے گا اور چاند اپنی روشنی نہ دے گا ۔,20,20
and the stars of heaven shall fall and the powers that are in heaven shall be shaken,اور آسمان سے ستارے گرنے لگیں گے اور جو قوتیں آسمان میں ہیں وہ ہلائی جائیں گی ۔,17,18
and then shall they see the son of man coming in the clouds with great power and glory,اور اس وقت لوگ ابن آدم کو بڑی قدرت اور جلال کے ساتھ بادلوں میں آتے دیکھیں گے ۔,18,19
and then shall he send his angels and shall gather together his elect from the four winds from the uttermost part of the earth to the uttermost part of heaven,اس وقت وہ فرشتوں کو بھیج کر اپنے برگزیدوں کو زمین کی انتہا سے آسمان کی انتہا تک چاروں طرف سے جمع کرے گا ۔,30,25
now learn a parable of the fig tree when her branch is yet tender and putteth forth leaves ye know that summer is near,اب انجیر کے درخت سے ایک تمثیل سیکھو ۔ جو نہی اس کی ڑالی نرم ہوتی اور پتے نکلتے ہیں تم جان لیتے ہوکہ گرمی نزدیک ہے ۔,24,28
so ye in like manner when ye shall see these things come to pass know that it is nigh even at the doors,اسی طرح جب تم ان باتوں کو ہوتے دیکھو تو جان لوکہ وہ نزدیک بلکہ دروازہ پر ہے ۔,23,19
verily i say unto you that this generation shall not pass till all these things be done,میں تم سے سچ کہتا ہوں کہ جب تک یہ سب باتیں نہ ہولیں یہ نسل ہرگز تمام نہ ہوگی ۔,17,21
heaven and earth shall pass away but my words shall not pass away,آسمان اور زمین ٹل جائیں گے لیکن میری باتیں نہ ٹلیں گی ۔,13,13
but of that day and that hour knoweth no man no not the angels which are in heaven neither the son but the father,لیکن اس دن یا اس گھڑی کی بابت کوئی نہیں جانتا ۔ نہ آسمان کے فرشتے نہ بیٹا باپ ۔,24,20
take ye heed watch and pray for ye know not when the time is,خبردار جگتے اور دعا کرتے رہو کیونکہ تم نہیں جانتے کہ وہ وقت کب آئے گا ۔,14,17
for the son of man is as a man taking a far journey who left his house and gave authority to his servants and to every man his work and commanded the porter to watch,اس آدمی کا سا حال ہے جو پردیس گیا اور اس نے گھر رخصت ہوتے وقت اپنے نوکروں کو اختیار دیا یعنی ہر ایک کو اس کا کام بتادیا اور دربان کو حکم دیا کہ جاگتا رہے ۔,35,38
watch ye therefore for ye know not when the master of the house cometh at even or at midnight or at the cockcrowing or in the morning,پس جاگتے رہو کیونکہ تم نہیں جانتے کہ گھر کا مالک کب آئے گا ۔ شام کو یا آدھی رات کو یا مرغ کے بانگ دیتے وقت یا صبع کو ۔,27,31
lest coming suddenly he find you sleeping,ایسا نہ ہو کہ اچانک آکر وہ تمکو سوتے پائے ۔,7,11
and what i say unto you i say unto all watch,اور جو کچھ میں تم سے کہتا ہوں وہی سب سے کہتا ہوں کہ جاگتے رہو ۔,11,17
after two days was the feast of the passover and of unleavened bread and the chief priests and the scribes sought how they might take him by craft and put him to death,دو دن کے بعد فسع اور عید فطیر ہونے والی تھی اور سردار کاہن اور فقیہ موقع ڑھونڈ رہے تھے کہ اسے کیونکر فریب سے پکڑکر قتل کریں ۔,33,29
but they said not on the feast day lest there be an uproar of the people,کیونکہ کہتے تھے کہ عید میں نہیں ۔ ایسا نہ ہو کہ لوگوں میں بلوا ہو جائے ۔,16,18
and there were some that had indignation within themselves and said why was this waste of the ointment made,مگر بعض اپنے دل میں خفا ہوکر کہنے لگے یہ عطر کس لئے ضائع کیا گیا ۔,19,17
for it might have been sold for more than three hundred pence and have been given to the poor and they murmured against her,کیونکہ یہ عطر تین سو دینار سے زیادہ کو بک کر غریبوں کو دیا جاسکتا تھا اور وہ اسے ملامت کرنے لگے ۔,24,23
and jesus said let her alone why trouble ye her she hath wrought a good work on me,یسوع نے کہا اسے چھوڑ دو ۔ اسے کیوں دق کرتے ہو اس نے میرے ساتھ بھلائی کی ہے ۔,18,20
for ye have the poor with you always and whensoever ye will ye may do them good but me ye have not always,کیونکہ غریب غربا تو ہمیشہ تمہارے پاس ہیں ۔ جب چاہو ان کے ساتھ نیکی کرسکتے ہو لیکن میں تمہارے پاس ہمیشہ نہ رہونگا ۔,23,25
she hath done what she could she is come aforehand to anoint my body to the burying,جو کچھ وہ کرسکی اس نے کیا ۔ اس نے دفن کے لئے میرے بدن پر پہلے ہی سے عطر ملا ۔,17,22
verily i say unto you wheresoever this gospel shall be preached throughout the whole world this also that she hath done shall be spoken of for a memorial of her,میں تم سے سچ کہتا ہوں کہ تمام دینا میں جہاں کہیں انجیل کی منادی کی جائے گی یہ بھی جو اس نےکیا اس کی یاد گاری میں بیان کیا جائے گا ۔,30,33
and judas iscariot one of the twelve went unto the chief priests to betray him unto them,پھر یہوداہ اسکریوتی جو ان بارہ میں سے تھا سردار کاہنوں کے پاس چلاگیا تاکہ اسے ان کے حوالہ کردے ۔,17,21
and when they heard it they were glad and promised to give him money and he sought how he might conveniently betray him,وہ یہ سنکر خوش ہوئے اور اس کو روپے دینے کا اقرار کیا اور وہ موقع ڑھونڑنے لگا کہ کسی طرح قابو پاکر اسے پکڑوا دے ۔,23,27
and the first day of unleavened bread when they killed the passover his disciples said unto him where wilt thou that we go and prepare that thou mayest eat the passover,عید فطیر کے پہلے دن یعنی جس روز فسع کو ذبع کیا کرتے تھے اس کے شاگردوں نے اس سے کہا تو کہاں چاہتا ہے کہ ہم جاکر تیرے لئے فسع کھانے کی تیاری کریں ۔,31,36
and he sendeth forth two of his disciples and saith unto them go ye into the city and there shall meet you a man bearing a pitcher of water follow him,اس نے اپنے چاگردوں میں سے دو کو بھیجا اور ان سے کہا شہر میں جاو ۔ ایک شخص پانی کا گھڑا لئے ہوئے تمہیں ملیگا اس کے پیچھے ہولینا ۔,31,31
and wheresoever he shall go in say ye to the goodman of the house the master saith where is the guestchamber where i shall eat the passover with my disciples,اور جہاں وہ داخل ہو اس گھر کے مالک سے کہنا استاد کہتا ہے کہ میرا مہمان خانہ جہاں میں اپنے شاگردوں کے ساتھ فسع کھاوں کہاں ہے ۔,30,29
and he will shew you a large upper room furnished and prepared there make ready for us,وہ آپ تم کو ایک بڑا بالا خانہ آراستہ اور تیار دکھائے گا وہیں ہمارے لئے تیاری کرنا ۔,17,19
and his disciples went forth and came into the city and found as he had said unto them and they made ready the passover,پس شاگرد چلے گئے اور شہر میں آکر جیسا اس نے ان سے کہا تھا ویسا ہی پایا اور فسع کو تیار کیا ۔,24,24
and in the evening he cometh with the twelve,جب شام ہوئی تو وہ ان بارہ کے ساتھ آیا ۔,9,11
and as they sat and did eat jesus said verily i say unto you one of you which eateth with me shall betray me,اور جب وہ بیٹھے کھارہے تھے تو یسوع نے کہا میں تم سے سچ کہتا ہوں کہ تم میں سے ایک جو میرے ساتھ کھاتا ہے مجھے پکڑوائے گا ۔,24,30
and they began to be sorrowful and to say unto him one by one is it i and another said is it i,وہ دلگیر ہونے اور ایک ایک کرکے اس سے کہنے لگے کیا میں ہوں ۔,23,15
and he answered and said unto them it is one of the twelve that dippeth with me in the dish,اس نے ان سے کہا کہ وہ بارہ میں سے ایک ہے جو میرے ستھ طباق میں ہاتھ ڈالتا ہے ۔,20,21
the son of man indeed goeth as it is written of him but woe to that man by whom the son of man is betrayed good were it for that man if he had never been born,کیونکہ ابن آدم تو جیسا اس کے حق میں لکھا ہے جاتا ہی ہے لیکن اس آدمی پر افسوس جس کے وسیلہ سے ابن آدم پکڑوایا جاتا ہے اگر وہ آدمی پیدا نہ ہوتا تو اس کے لئے اچھا ہوتا ۔,37,41
and as they did eat jesus took bread and blessed and brake it and gave to them and said take eat this is my body,اور وہ کھا ہی رہے تھے کہ اس نے روٹی لی اور برکت دے کر توڑی اور ان کو دی اور کہا لو یہ میرا بدن ہے ۔,25,28
and he took the cup and when he had given thanks he gave it to them and they all drank of it,پھر اس نے پیالہ لے کر شکر کیا اور ان کو دیا اور ان سبھوں نے اس میں سے پیا ۔,22,21
and he said unto them this is my blood of the new testament which is shed for many,اور اس نے ان سے کہا یہ میرا وہ عہد کا خون ہے جو بہتیروں کے لئے بہایا جاتا ہے ۔,18,21
verily i say unto you i will drink no more of the fruit of the vine until that day that i drink it new in the kingdom of god,میں تم سے سچ کہتا ہوں کہ انگور کا شیرہ پھر کبھی نہ پیونگا اس دن تک کہ خدا کی بادشاہی میں نیا نہ پیوں ۔,29,26
and when they had sung an hymn they went out into the mount of olives,پھر گیت گا کر باہر زیتون کے پہاڑ پر گئے,15,10
and jesus saith unto them all ye shall be offended because of me this night for it is written i will smite the shepherd and the sheep shall be scattered,اور یسوع نے ان سے کہا تم سب ٹھوکر کھاوگے کیونکہ لکھا ہےکہ میں چرواہے کو ماردنگا اور بھیڑیں پراگندہ ہوجائیں گی ۔,30,23
but after that i am risen i will go before you into galilee,مگر میں اپنے جی اٹھنے کے بعد تم سے پہلے گلیل کو جاونگا ۔,13,14
but peter said unto him although all shall be offended yet will not i,پطرس نے اس سے کہا گو سب ٹھوکر کھائیں لیکن میں نہ کھاونگا ۔,14,14
and jesus saith unto him verily i say unto thee that this day even in this night before the cock crow twice thou shalt deny me thrice,یسوع نے اس کہا میں تجھھ سے سچ کہتا ہوں کہ تو آج اسی رات مرغ کے دو بار بانگ دینے سے پہلے تین بار میرا انکار کرے گا ۔,27,30
but he spake the more vehemently if i should die with thee i will not deny thee in any wise likewise also said they all,لیکن اس نے بہت زور دے کر کہا اگر تیرے ساتھ مجھے مرنا بھی پڑے تو بھی تیرا انکار ہر گزر نہ کروں گا ۔ اسی طرح اور سب نے بھی کہا ۔,25,33
and they came to a place which was named gethsemane and he saith to his disciples sit ye here while i shall pray,پھر وہ ایک جگہ آئے جس کا نام گتسمنی تھا اور اس نے اپنے شاگردوں سے کہا یہاں بیٹھے رہو جب تک میں دعا کروں ۔,23,26
and he taketh with him peter and james and john and began to be sore amazed and to be very heavy,اور پطرس اور یعقوب اور یوحنا کو اپنے ساتھ لے کر نہایت حیران اور بے قرار ہو نے لگا ۔,21,20
and saith unto them my soul is exceeding sorrowful unto death tarry ye here and watch,اور ان سے کہا میری جان نہایت غمگین ہے ۔ یہاں تک کہ مرنے کی نوبت پہنچ گئی ہے ۔ تم یہاں ٹھہرو اور جاگتے رہو ۔,16,27
and he went forward a little and fell on the ground and prayed that if it were possible the hour might pass from him,اور وہ تھوڑ آگے بڑھا اور زمین پر گر کر دعا کرنے لگا کہ اگر ہوسکے تو یہ گھڑی مجھ پر سے ٹل جائے ۔,24,25
and he said abba father all things are possible unto thee take away this cup from me nevertheless not what i will but what thou wilt,اور کہا اے ابا اے باپ تجھ سے سب کچھ ہو سکتا ہے ۔ اس پیالہ کو میرے پاس سے ہٹالے تو بھی جو میں چاہتا ہوں وہ نہیں بلکہ جو تو چاہتا ہے وہی ہو ۔,26,37
and he cometh and findeth them sleeping and saith unto peter simon sleepest thou couldest not thou watch one hour,پھر وہ آیا اور انہیں سوتے پاکر پطرس سے کہا اے شمعون تو سوتا ہے کیا تو ایک گھڑی بھی نہ جاگے سکا ۔,20,24
watch ye and pray lest ye enter into temptation the spirit truly is ready but the flesh is weak,جاگو اور دعا کرو تاکہ آزمایش میں نہ پڑو ۔ روح تو مستعد ہے مگر جسم کمزور ہے ۔,19,19
and again he went away and prayed and spake the same words,وہ پھر چلا گیا اور وہی بات کہہ کر دعا کی ۔,12,12
and when he returned he found them asleep again for their eyes were heavy neither wist they what to answer him,اور پھر آکر انہیں سوتے پایا کیونکہ ان کی آنکھیں نیند سے بھری تھیں اور وہ نہ جانتے تھے کہ اسے کیا جواب دیں ۔,21,25
and he cometh the third time and saith unto them sleep on now and take your rest it is enough the hour is come behold the son of man is betrayed into the hands of sinners,پھر تیسری بار آکر ان سے کہا اب سوتے رہو اور آرام کرو ۔ بس وقت آپہنچا ہے ۔ دیکھو ابن آدم گہنگاروں کے ہاتھ میں حوالہ کیا جاتا ہے ۔,36,31
rise up let us go lo he that betrayeth me is at hand,اٹھو چلیں ۔ دیکھو میرا پکڑوانے والا نزدیک آپہنچا ہے ۔,13,11
and immediately while he yet spake cometh judas one of the twelve and with him a great multitude with swords and staves from the chief priests and the scribes and the elders,وہ یہ کہہ ہی رہا تھا کہ فی الفور یہوداہ جو ان بارہ میں سے تھا اور اس کے ساتھ ایک بھیڑ تلواریں اور لاٹھیاں لئے ہوئے سردار کاہنوں اور فقیہوں اور بزرگوں کی طرف سے آپہنچ ۔,32,38
and he that betrayed him had given them a token saying whomsoever i shall kiss that same is he take him and lead him away safely,اور اس کے پکڑوانے والے نے انہیں یہ نشان دیا تھا جس کا میں بوسہ نوں وہی ہے ۔ اسے پکڑکر حفاظت سے لے جانا ۔,26,26
and as soon as he was come he goeth straightway to him and saith master master and kissed him,وہ آکر فی الفور اس کے پاس گیا اور کہا اے ربی اور اس کے بو سے لئے ۔,19,19
and they laid their hands on him and took him,انہوں نے اس پر ہاتھ ڈال کر اسے پکڑ لیا ۔,10,11
and one of them that stood by drew a sword and smote a servant of the high priest and cut off his ear,ان میں سے جو پاس کھڑے تھے ایک نے تکوار کھینچ کر سردار کاہن کے نوکر پر چلائی اور اس کا کان اڑادیا ۔,23,24
and jesus answered and said unto them are ye come out as against a thief with swords and with staves to take me,یسوع نے ان سے کہا کیا تم تلواریں اور لاٹھیاں لے کر مجھے ڈاکو کی طرح پکڑنے نکلے ہو ۔,23,20
i was daily with you in the temple teaching and ye took me not but the scriptures must be fulfilled,میں ہر روز تمہارے پاس ہیکل میں تعلیم دیتا تھا اور تم نے مجھے نہیں پکڑا ۔ لیکن یہ اسلئے ہوا ہے کہ نوشتے پورے ہوں ۔,20,27
